#GUO(2015)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1	1.334       1.00   1.00    0    0    0    0
200	1	1.422       1.00   1.00    0    0    0    0
300	1	1.503       1.00   1.00    0    0    0    0
400	1	1.569       1.00   1.00    0    0    0    0
100	3	0.912       3.00   3.00    0    0    0    0
200	3	0.99       3.00   3.00    0    0    0    0
300	3	1.058       3.00   3.00    0    0    0    0
400	3	1.068       3.00   3.00    0    0    0    0
100	5	0.646       5.00   5.00    0    0    0    0
200	5	0.686       5.00   5.00    0    0    0    0
300	5	0.737       5.00   5.00    0    0    0    0
400	5	0.776       5.00   5.00    0    0    0    0
