#LIU(2021)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
20.7	0.17	0.304       0.17   0.17    0    0    0    0
41.3	0.17	0.549       0.17   0.17    0    0    0    0
62.0	0.17	0.751       0.17   0.17    0    0    0    0
82.7	0.17	0.896       0.17   0.17    0    0    0    0
103.3	0.17	1.004       0.17   0.17    0    0    0    0
137.9	0.17	1.104       0.17   0.17    0    0    0    0
158.5	0.17	1.133       0.17   0.17    0    0    0    0
172.3	0.17	1.151       0.17   0.17    0    0    0    0
20.7	0.26	0.307       0.26   0.26    0    0    0    0
41.3	0.26	0.543       0.26   0.26    0    0    0    0
62.0	0.26	0.749       0.26   0.26    0    0    0    0
82.7	0.26	0.883       0.26   0.26    0    0    0    0
103.3	0.26	0.989       0.26   0.26    0    0    0    0
137.9	0.26	1.086       0.26   0.26    0    0    0    0
158.5	0.26	1.113       0.26   0.26    0    0    0    0
172.3	0.26	1.132       0.26   0.26    0    0    0    0
193.0	0.26	1.157       0.26   0.26    0    0    0    0
202.6	0.26	1.17       0.26   0.26    0    0    0    0
