#GUO(2015)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1	0.74       1.00   1.00    0    0    0    0
200	1	0.948       1.00   1.00    0    0    0    0
300	1	1.084       1.00   1.00    0    0    0    0
400	1	1.165       1.00   1.00    0    0    0    0
100	3	0.517       3.00   3.00    0    0    0    0
200	3	0.695       3.00   3.00    0    0    0    0
300	3	0.781       3.00   3.00    0    0    0    0
400	3	0.852       3.00   3.00    0    0    0    0
100	5	0.429       5.00   5.00    0    0    0    0
200	5	0.553       5.00   5.00    0    0    0    0
300	5	0.612       5.00   5.00    0    0    0    0
400	5	0.671       5.00   5.00    0    0    0    0
