#LIU(2021)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
20.7	0.17	0.233       0.17   0.17    0    0    0    0
41.3	0.17	0.434       0.17   0.17    0    0    0    0
62.0	0.17	0.608       0.17   0.17    0    0    0    0
82.7	0.17	0.841       0.17   0.17    0    0    0    0
103.3	0.17	0.849       0.17   0.17    0    0    0    0
137.9	0.17	0.973       0.17   0.17    0    0    0    0
158.5	0.17	1.026       0.17   0.17    0    0    0    0
172.3	0.17	1.059       0.17   0.17    0    0    0    0
193.0	0.17	1.099       0.17   0.17    0    0    0    0
20.7	0.26	0.239       0.26   0.26    0    0    0    0
41.3	0.26	0.433       0.26   0.26    0    0    0    0
62.0	0.26	0.607       0.26   0.26    0    0    0    0
82.7	0.26	0.734       0.26   0.26    0    0    0    0
103.3	0.26	0.835       0.26   0.26    0    0    0    0
137.9	0.26	0.958       0.26   0.26    0    0    0    0
158.5	0.26	1.011       0.26   0.26    0    0    0    0
172.3	0.26	1.041       0.26   0.26    0    0    0    0
193.0	0.26	1.0821       0.26   0.26    0    0    0    0
202.6	0.26	1.098       0.26   0.26    0    0    0    0
