#GUO(2015)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1	0.551       1.00   1.00    0    0    0    0
200	1	0.99       1.00   1.00    0    0    0    0
300	1	1.304       1.00   1.00    0    0    0    0
400	1	1.54       1.00   1.00    0    0    0    0
100	3	0.401       3.00   3.00    0    0    0    0
200	3	0.693       3.00   3.00    0    0    0    0
300	3	0.896       3.00   3.00    0    0    0    0
400	3	1.038       3.00   3.00    0    0    0    0
100	5	0.33       5.00   5.00    0    0    0    0
200	5	0.541       5.00   5.00    0    0    0    0
300	5	0.701       5.00   5.00    0    0    0    0
400	5	0.806       5.00   5.00    0    0    0    0
