#TAKENOUSHI(1965)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1.09	0.2196       1.09   1.09    0    0    0    0
200	1.09	1.1658       1.09   1.09    0    0    0    0
300	1.09	1.9887       1.09   1.09    0    0    0    0
400	1.09	2.8365       1.09   1.09    0    0    0    0
500	1.09	3.6128       1.09   1.09    0    0    0    0
600	1.09	4.3674       1.09   1.09    0    0    0    0
800	1.09	5.6714       1.09   1.09    0    0    0    0
1000	1.09	6.6613       1.09   1.09    0    0    0    0
1200	1.09	7.5516       1.09   1.09    0    0    0    0
1400	1.09	8.1888       1.09   1.09    0    0    0    0
