#ALVAREZ(1988)
T [K]   P [bar]    xh_W    yw_H
318.9	6.78	0.0000856	X
329.6	7.15	0.0000910	X
339.2	7.1	0.0000867	X
349.8	7.37	0.0000881	X
350	6.29	0.0000777	X
360.9	4.81	0.0000558	X
399.4	10.64	0.0001292	X
416.4	10.6	0.0001175	X
419.6	10.68	0.0001125	X
429.6	12.18	0.0001248	X
443.3	14.24	0.0001321	X
460.5	36.48	0.0006120	X
475.6	35.74	0.0005460	X
497.5	45.94	0.0007290	X
525.2	59.77	0.0008410	X
543.6	123.3	0.0035540	X
545.3	137.4	0.0044530	X
565.4	135.4	0.0043740	X
583.6	165.5	0.0055630	X
592.8	180.2	0.0061700	X
617.1	202.1	0.0066800	X
