#KIEPE(2003)
P [bar]    ms [mol/kg]    xc_W [SALTfree]    Na    Cl    K    Ca    Mg    SO4
4.8	1	0.00009	0	1	1	0	0
9.0	1	0.00018	0	1	1	0	0
12.2	1	0.00024	0	1	1	0	0
15.9	1	0.00031	0	1	1	0	0
31.8	1	0.00059	0	1	1	0	0
43.1	1	0.00078	0	1	1	0	0
57.9	1	0.00102	0	1	1	0	0
65.3	1	0.00114	0	1	1	0	0
77.0	1	0.00131	0	1	1	0	0
91.8	1	0.00152	0	1	1	0	0
4.2	2.5	0.00007	0	2.5	2.5	0	0
8.0	2.5	0.00014	0	2.5	2.5	0	0
11.3	2.5	0.00019	0	2.5	2.5	0	0
16.2	2.5	0.00028	0	2.5	2.5	0	0
29.9	2.5	0.00050	0	2.5	2.5	0	0
42.6	2.5	0.00069	0	2.5	2.5	0	0
60.2	2.5	0.00094	0	2.5	2.5	0	0
70.9	2.5	0.00107	0	2.5	2.5	0	0
82.0	2.5	0.00122	0	2.5	2.5	0	0
93.4	2.5	0.00136	0	2.5	2.5	0	0
4.4	4	0.00007	0	4	4	0	0
9.3	4	0.00015	0	4	4	0	0
12.2	4	0.00020	0	4	4	0	0
14.8	4	0.00024	0	4	4	0	0
30.9	4	0.00048	0	4	4	0	0
43.4	4	0.00066	0	4	4	0	0
60.6	4	0.00089	0	4	4	0	0
68.2	4	0.00098	0	4	4	0	0
77.6	4	0.00110	0	4	4	0	0
87.4	4	0.00121	0	4	4	0	0
