#KIEPE (2002)
P [bar]    ms [mol/kg]    xc_W [SALTfree]
3.9	0.52	0.00136
5.1	0.52	0.0018
8.9	0.52	0.00315
20.0	0.52	0.00675
31.5	0.52	0.01032
36.8	0.52	0.01182
46.2	0.52	0.01427
56.2	0.52	0.01659
67.8	0.52	0.01883
84.3	0.52	0.02112
2.1	2.5	0.00051
5.0	2.5	0.00124
8.2	2.5	0.00201
12.4	2.5	0.00304
18.6	2.5	0.00446
26.4	2.5	0.00617
38.4	2.5	0.00861
51.4	2.5	0.01089
63.7	2.5	0.01272
77.9	2.5	0.01431
91.3	2.5	0.01517
1.9	4	0.00033
3.8	4	0.00068
5.6	4	0.00101
8.4	4	0.00149
12.5	4	0.00222
23.4	4	0.00403
40.3	4	0.00657
59.8	4	0.00898
73.8	4	0.01029
81.2	4	0.0108
90.6	4	0.0112
