#TAKENOUSHI(1965)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
200	1.09	0.7993       1.09   1.09    0    0    0    0
300	1.09	1.9604       1.09   1.09    0    0    0    0
400	1.09	3.1418       1.09   1.09    0    0    0    0
500	1.09	4.1999       1.09   1.09    0    0    0    0
600	1.09	5.3074       1.09   1.09    0    0    0    0
800	1.09	7.2220       1.09   1.09    0    0    0    0
1000	1.09	9.4961       1.09   1.09    0    0    0    0
1200	1.09	10.8626       1.09   1.09    0    0    0    0
1400	1.09	12.4553       1.09   1.09    0    0    0    0
200	4.27	0.3160       4.27   4.27    0    0    0    0
300	4.27	0.7584       4.27   4.27    0    0    0    0
400	4.27	1.1529       4.27   4.27    0    0    0    0
500	4.27	1.5267       4.27   4.27    0    0    0    0
600	4.27	1.8778       4.27   4.27    0    0    0    0
800	4.27	2.4368       4.27   4.27    0    0    0    0
1000	4.27	2.9822       4.27   4.27    0    0    0    0
1200	4.27	3.4397       4.27   4.27    0    0    0    0
1400	4.27	3.8740       4.27   4.27    0    0    0    0
