#LIU(2011)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
24.8	MIX	0.3957	0.950	1.695	0.746	0.000	0	0
46.4	MIX	0.6413	0.950	1.695	0.746	0.000	0	0
66.5	MIX	0.8108	0.950	1.695	0.746	0.000	0	0
85.9	MIX	0.9059	0.950	1.695	0.746	0.000	0	0
105.8	MIX	0.9552	0.950	1.695	0.746	0.000	0	0
125.1	MIX	0.9771	0.950	1.695	0.746	0.000	0	0
144.6	MIX	0.9991	0.950	1.695	0.746	0.000	0	0
159.9	MIX	1.0102	0.950	1.695	0.746	0.000	0	0
24.6	MIX	0.3695	0.950	1.951	0.000	0.501	0	0
45.8	MIX	0.5828	0.950	1.951	0.000	0.501	0	0
65.8	MIX	0.7432	0.950	1.951	0.000	0.501	0	0
85.8	MIX	0.8352	0.950	1.951	0.000	0.501	0	0
105.6	MIX	0.8841	0.950	1.951	0.000	0.501	0	0
124.3	MIX	0.9032	0.950	1.951	0.000	0.501	0	0
144.5	MIX	0.9169	0.950	1.951	0.000	0.501	0	0
160.2	MIX	0.9415	0.950	1.951	0.000	0.501	0	0
20.9	MIX	0.3487	0.000	1.747	0.746	0.501	0	0
40.8	MIX	0.5960	0.000	1.747	0.746	0.501	0	0
60.9	MIX	0.7891	0.000	1.747	0.746	0.501	0	0
80.9	MIX	0.8950	0.000	1.747	0.746	0.501	0	0
100.9	MIX	0.9689	0.000	1.747	0.746	0.501	0	0
120.8	MIX	0.9936	0.000	1.747	0.746	0.501	0	0
140.8	MIX	1.0239	0.000	1.747	0.746	0.501	0	0
158.7	MIX	1.0377	0.000	1.747	0.746	0.501	0	0
20.8	MIX	0.3770	0.300	0.851	0.235	0.158	0	0
40.8	MIX	0.6395	0.300	0.851	0.235	0.158	0	0
61	MIX	0.8513	0.300	0.851	0.235	0.158	0	0
80.8	MIX	0.9912	0.300	0.851	0.235	0.158	0	0
100.8	MIX	1.0617	0.300	0.851	0.235	0.158	0	0
120.6	MIX	1.0906	0.300	0.851	0.235	0.158	0	0
140.6	MIX	1.1195	0.300	0.851	0.235	0.158	0	0
158.4	MIX	1.1380	0.300	0.851	0.235	0.158	0	0
25.8	MIX	0.3957	0.633	1.798	0.497	0.334	0	0
45.4	MIX	0.6040	0.633	1.798	0.497	0.334	0	0
65.5	MIX	0.7810	0.633	1.798	0.497	0.334	0	0
85.9	MIX	0.8841	0.633	1.798	0.497	0.334	0	0
102.5	MIX	0.9251	0.633	1.798	0.497	0.334	0	0
117.1	MIX	0.9552	0.633	1.798	0.497	0.334	0	0
136.1	MIX	0.9717	0.633	1.798	0.497	0.334	0	0
155.7	MIX	0.9826	0.633	1.798	0.497	0.334	0	0
20.7	MIX	0.2846	0.951	2.700	0.747	0.501	0	0
40.6	MIX	0.4904	0.951	2.700	0.747	0.501	0	0
60.7	MIX	0.6464	0.951	2.700	0.747	0.501	0	0
80.8	MIX	0.7308	0.951	2.700	0.747	0.501	0	0
100.7	MIX	0.8074	0.951	2.700	0.747	0.501	0	0
130.4	MIX	0.8473	0.951	2.700	0.747	0.501	0	0
140.2	MIX	0.8587	0.951	2.700	0.747	0.501	0	0
154.6	MIX	0.8758	0.951	2.700	0.747	0.501	0	0
