#HOU(2013)
P [bar]    ms [mol/kg]    xc_W [SALTfree]   xc_C    Na    Cl    K    Ca    Mg    SO4
26.43	2.5	0.00193	0.81441       2.50   2.50    0    0    0    0
57.66	2.5	0.00440	0.89845       2.50   2.50    0    0    0    0
86	2.5	0.00640	0.92433       2.50   2.50    0    0    0    0
116.04	2.5	0.00824	0.93769       2.50   2.50    0    0    0    0
148.81	2.5	0.01014	0.94636       2.50   2.50    0    0    0    0
177.94	2.5	0.01137	0.94978       2.50   2.50    0    0    0    0
30.93	4	0.00195	0.84561       4.00   4.00    0    0    0    0
58.16	4	0.00375	0.91331       4.00   4.00    0    0    0    0
88.57	4	0.00556	0.93732       4.00   4.00    0    0    0    0
119.22	4	0.00709	0.94690       4.00   4.00    0    0    0    0
149.79	4	0.00844	0.95328       4.00   4.00    0    0    0    0
180.79	4	0.00965	0.95696       4.00   4.00    0    0    0    0
