#HOU(2013)
P [bar]    ms [mol/kg]    xc_W [SALTfree]   xc_C    Na    Cl    K    Ca    Mg    SO4
26.13	2.5	0.00261	0.97097       2.50   2.50    0    0    0    0
57.42	2.5	0.00545	0.98828       2.50   2.50    0    0    0    0
87.89	2.5	0.00745	0.98936       2.50   2.50    0    0    0    0
118.67	2.5	0.00911	0.99045       2.50   2.50    0    0    0    0
149.21	2.5	0.01039	0.98917       2.50   2.50    0    0    0    0
180.13	2.5	0.01139	0.98844       2.50   2.50    0    0    0    0
29.51	4	0.00251	0.98581       4.00   4.00    0    0    0    0
60.68	4	0.00466	0.99098       4.00   4.00    0    0    0    0
89.16	4	0.00620	0.99189       4.00   4.00    0    0    0    0
120.03	4	0.00752	0.99258       4.00   4.00    0    0    0    0
149.24	4	0.00857	0.99153       4.00   4.00    0    0    0    0
181.62	4	0.00924	0.99055       4.00   4.00    0    0    0    0
