#GUO(2015)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1	0.658       1.00   1.00    0    0    0    0
200	1	0.937       1.00   1.00    0    0    0    0
300	1	1.075       1.00   1.00    0    0    0    0
400	1	1.177       1.00   1.00    0    0    0    0
100	3	0.467       3.00   3.00    0    0    0    0
200	3	0.681       3.00   3.00    0    0    0    0
300	3	0.764       3.00   3.00    0    0    0    0
400	3	0.821       3.00   3.00    0    0    0    0
100	5	0.39       5.00   5.00    0    0    0    0
200	5	0.547       5.00   5.00    0    0    0    0
300	5	0.618       5.00   5.00    0    0    0    0
400	5	0.68       5.00   5.00    0    0    0    0
