#HOU(2013)
P [bar]    ms [mol/kg]    xc_W [SALTfree]   xc_C    Na    Cl    K    Ca    Mg    SO4
27.82	2.5	0.00492	0.99637       2.50   2.50    0    0    0    0
57.39	2.5	0.00875	0.99767       2.50   2.50    0    0    0    0
87.3	2.5	0.01146	0.99782       2.50   2.50    0    0    0    0
117.73	2.5	0.01238	0.99734       2.50   2.50    0    0    0    0
150.2	2.5	0.01293	0.99626       2.50   2.50    0    0    0    0
182.11	2.5	0.01335	0.99591       2.50   2.50    0    0    0    0
29.83	4	0.00403	0.99706       4.00   4.00    0    0    0    0
59.54	4	0.00697	0.99809       4.00   4.00    0    0    0    0
89.53	4	0.00875	0.99836       4.00   4.00    0    0    0    0
120.17	4	0.00956	0.9976       4.00   4.00    0    0    0    0
149.59	4	0.00997	0.99651       4.00   4.00    0    0    0    0
179.54	4	0.01025	0.99609       4.00   4.00    0    0    0    0
