#TEYMOURI(2017)
P [bar]    ms [mol/kg]    xc_W [SALTfree]    Na    Cl    K    Ca    Mg    SO4
83.7	0.73	0.0136	0	1.46	0	0.73	0	0
263.5	0.73	0.0184	0	1.46	0	0.73	0	0
135.9	1	0.0140	0	2	0	1	0	0
255.8	1	0.0155	0	2	0	1	0	0
475.9	1	0.0175	0	2	0	1	0	0
564.1	1	0.0182	0	2	0	1	0	0
105.5	1.68	0.0100	0	3.36	0	1.68	0	0
140.5	1.68	0.0111	0	3.36	0	1.68	0	0
246.2	1.68	0.0121	0	3.36	0	1.68	0	0
256.3	1.68	0.0125	0	3.36	0	1.68	0	0
397.9	1.68	0.0139	0	3.36	0	1.68	0	0
555.9	1.68	0.0146	0	3.36	0	1.68	0	0
116.6	2.75	0.0076	0	5.5	0	2.75	0	0
236.4	2.75	0.0085	0	5.5	0	2.75	0	0
385.2	2.75	0.0094	0	5.5	0	2.75	0	0
530.2	2.75	0.0101	0	5.5	0	2.75	0	0
