#HOU(2013)
P [bar]    ms [mol/kg]    xc_W [SALTfree]   xc_C    Na    Cl    K    Ca    Mg    SO4
29.20	2.5	0.00638	0.99609	0	2.50	2.50	0	0	0
58.95	2.5	0.01139	0.99759	0	2.50	2.50	0	0	0
88.80	2.5	0.01432	0.99778	0	2.50	2.50	0	0	0
117.74	2.5	0.01545	0.99728	0	2.50	2.50	0	0	0
150.62	2.5	0.01616	0.99620	0	2.50	2.50	0	0	0
180.78	2.5	0.01671	0.99587	0	2.50	2.50	0	0	0
30.27	4	0.00552	0.99660	0	4.00	4.00	0	0	0
59.59	4	0.00939	0.99801	0	4.00	4.00	0	0	0
89.98	4	0.01167	0.99823	0	4.00	4.00	0	0	0
120.84	4	0.01270	0.99753	0	4.00	4.00	0	0	0
150.36	4	0.01312	0.99638	0	4.00	4.00	0	0	0
181.84	4	0.01353	0.99598	0	4.00	4.00	0	0	0
