#GUO(2015)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1	1.267       1.00   1.00    0    0    0    0
200	1	1.347       1.00   1.00    0    0    0    0
300	1	1.422       1.00   1.00    0    0    0    0
400	1	1.492       1.00   1.00    0    0    0    0
100	3	0.876       3.00   3.00    0    0    0    0
200	3	0.955       3.00   3.00    0    0    0    0
300	3	1.019       3.00   3.00    0    0    0    0
400	3	1.023       3.00   3.00    0    0    0    0
100	5	0.632       5.00   5.00    0    0    0    0
200	5	0.675       5.00   5.00    0    0    0    0
300	5	0.711       5.00   5.00    0    0    0    0
400	5	0.763       5.00   5.00    0    0    0    0
