#TAKENOUSHI(1965)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
100	1.09	0.5945       1.09   1.09    0    0    0    0
200	1.09	1.2458       1.09   1.09    0    0    0    0
300	1.09	1.7641       1.09   1.09    0    0    0    0
400	1.09	2.2460       1.09   1.09    0    0    0    0
500	1.09	2.6864       1.09   1.09    0    0    0    0
600	1.09	3.1418       1.09   1.09    0    0    0    0
800	1.09	3.7412       1.09   1.09    0    0    0    0
1000	1.09	4.1999       1.09   1.09    0    0    0    0
1200	1.09	4.6396       1.09   1.09    0    0    0    0
1400	1.09	4.9521       1.09   1.09    0    0    0    0
100	4.27	0.2870       4.27   4.27    0    0    0    0
200	4.27	0.5798       4.27   4.27    0    0    0    0
300	4.27	0.8184       4.27   4.27    0    0    0    0
400	4.27	0.9999       4.27   4.27    0    0    0    0
500	4.27	1.2146       4.27   4.27    0    0    0    0
600	4.27	1.4011       4.27   4.27    0    0    0    0
800	4.27	1.7172       4.27   4.27    0    0    0    0
1000	4.27	2.0075       4.27   4.27    0    0    0    0
1200	4.27	2.3367       4.27   4.27    0    0    0    0
1400	4.27	2.5376       4.27   4.27    0    0    0    0
