#KIEPE(2003)
P [bar]    ms [mol/kg]    xc_W [SALTfree]    Na    Cl    K    Ca    Mg    SO4
5.0	1	0.00006	0	1	1	0	0
8.1	1	0.00010	0	1	1	0	0
9.3	1	0.00012	0	1	1	0	0
12.9	1	0.00017	0	1	1	0	0
16.4	1	0.00022	0	1	1	0	0
31.3	1	0.00043	0	1	1	0	0
57.5	1	0.00079	0	1	1	0	0
72.1	1	0.00098	0	1	1	0	0
87.0	1	0.00117	0	1	1	0	0
96.7	1	0.00129	0	1	1	0	0
5.6	2.5	0.00006	0	2.5	2.5	0	0
10.0	2.5	0.00012	0	2.5	2.5	0	0
13.9	2.5	0.00017	0	2.5	2.5	0	0
18.0	2.5	0.00023	0	2.5	2.5	0	0
36.0	2.5	0.00046	0	2.5	2.5	0	0
65.2	2.5	0.00081	0	2.5	2.5	0	0
72.4	2.5	0.00089	0	2.5	2.5	0	0
86.2	2.5	0.00105	0	2.5	2.5	0	0
96.7	2.5	0.00116	0	2.5	2.5	0	0
5.3	4	0.00006	0	4	4	0	0
9.7	4	0.00011	0	4	4	0	0
12.6	4	0.00015	0	4	4	0	0
18.0	4	0.00021	0	4	4	0	0
43.7	4	0.00052	0	4	4	0	0
57.2	4	0.00067	0	4	4	0	0
74.3	4	0.00086	0	4	4	0	0
89.7	4	0.00102	0	4	4	0	0
97.9	4	0.00111	0	4	4	0	0
