#WANG(2014)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
30	1	0.339	1	1	0	0	0	0
40	1	0.427	1	1	0	0	0	0
50	1	0.485	1	1	0	0	0	0
60	1	0.559	1	1	0	0	0	0
70	1	0.62	1	1	0	0	0	0
80	1	0.679	1	1	0	0	0	0
90	1	0.723	1	1	0	0	0	0
100	1	0.761	1	1	0	0	0	0
110	1	0.804	1	1	0	0	0	0
120	1	0.83	1	1	0	0	0	0
130	1	0.851	1	1	0	0	0	0
150	1	0.894	1	1	0	0	0	0
170	1	0.923	1	1	0	0	0	0
200	1	0.965	1	1	0	0	0	0
230	1	1.001	1	1	0	0	0	0
260	1	1.029	1	1	0	0	0	0
300	1	1.069	1	1	0	0	0	0
30	2	0.283	2	2	0	0	0	0
40	2	0.347	2	2	0	0	0	0
50	2	0.407	2	2	0	0	0	0
60	2	0.466	2	2	0	0	0	0
70	2	0.513	2	2	0	0	0	0
80	2	0.558	2	2	0	0	0	0
90	2	0.603	2	2	0	0	0	0
100	2	0.641	2	2	0	0	0	0
110	2	0.67	2	2	0	0	0	0
120	2	0.697	2	2	0	0	0	0
130	2	0.719	2	2	0	0	0	0
150	2	0.751	2	2	0	0	0	0
170	2	0.774	2	2	0	0	0	0
200	2	0.807	2	2	0	0	0	0
230	2	0.837	2	2	0	0	0	0
260	2	0.862	2	2	0	0	0	0
300	2	0.885	2	2	0	0	0	0
30	3	0.244	3	3	0	0	0	0
40	3	0.305	3	3	0	0	0	0
50	3	0.356	3	3	0	0	0	0
60	3	0.406	3	3	0	0	0	0
70	3	0.449	3	3	0	0	0	0
80	3	0.487	3	3	0	0	0	0
90	3	0.524	3	3	0	0	0	0
100	3	0.556	3	3	0	0	0	0
110	3	0.581	3	3	0	0	0	0
120	3	0.606	3	3	0	0	0	0
130	3	0.62	3	3	0	0	0	0
150	3	0.652	3	3	0	0	0	0
170	3	0.671	3	3	0	0	0	0
200	3	0.701	3	3	0	0	0	0
230	3	0.724	3	3	0	0	0	0
260	3	0.744	3	3	0	0	0	0
300	3	0.767	3	3	0	0	0	0
