#JACOB(2016)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
26.2	1	0.67       1.00   1.00    0    0    0    0
34.5	1	0.88       1.00   1.00    0    0    0    0
48.3	1	1.02       1.00   1.00    0    0    0    0
66.2	1	1.03       1.00   1.00    0    0    0    0
71.0	1	1.05       1.00   1.00    0    0    0    0
93.1	1	1.11       1.00   1.00    0    0    0    0
17.2	4	0.29       4.00   4.00    0    0    0    0
30.7	4	0.44       4.00   4.00    0    0    0    0
44.8	4	0.47       4.00   4.00    0    0    0    0
57.9	4	0.49       4.00   4.00    0    0    0    0
70.6	4	0.55       4.00   4.00    0    0    0    0
79.2	4	0.53       4.00   4.00    0    0    0    0
87.8	4	0.51       4.00   4.00    0    0    0    0
95.1	4	0.52       4.00   4.00    0    0    0    0
