#LIU(2021)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
20.4	0.11	0.588	0	0.22	0	0	0.11	0
40.8	0.11	1.026	0	0.22	0	0	0.11	0
61.2	0.11	1.315	0	0.22	0	0	0.11	0
81.6	0.11	1.351	0	0.22	0	0	0.11	0
102	0.11	1.397	0	0.22	0	0	0.11	0
136.1	0.11	1.425	0	0.22	0	0	0.11	0
156.5	0.11	1.471	0	0.22	0	0	0.11	0
170.1	0.11	1.498	0	0.22	0	0	0.11	0
190.5	0.11	1.5143	0	0.22	0	0	0.11	0
20.4	0.16	0.579	0	0.32	0	0	0.16	0
40.8	0.16	1.013	0	0.32	0	0	0.16	0
61.2	0.16	1.305	0	0.32	0	0	0.16	0
81.6	0.16	1.345	0	0.32	0	0	0.16	0
102	0.16	1.387	0	0.32	0	0	0.16	0
136.1	0.16	1.411	0	0.32	0	0	0.16	0
156.5	0.16	1.454	0	0.32	0	0	0.16	0
170.1	0.16	1.495	0	0.32	0	0	0.16	0
190.5	0.16	1.497	0	0.32	0	0	0.16	0
