#LIU(2021)
P [bar]    ms [mol/kg]    mc [mol/kg]    Na    Cl    K    Ca    Mg    SO4
20.7	0.17	0.597       0.17   0.17    0    0    0    0
41.3	0.17	1.013       0.17   0.17    0    0    0    0
62.0	0.17	1.296       0.17   0.17    0    0    0    0
82.7	0.17	1.341       0.17   0.17    0    0    0    0
103.3	0.17	1.372       0.17   0.17    0    0    0    0
137.9	0.17	1.42       0.17   0.17    0    0    0    0
158.5	0.17	1.446       0.17   0.17    0    0    0    0
172.3	0.17	1.464       0.17   0.17    0    0    0    0
193.0	0.17	1.489       0.17   0.17    0    0    0    0
20.7	0.26	0.586       0.26   0.26    0    0    0    0
41.3	0.26	0.994       0.26   0.26    0    0    0    0
62.0	0.26	1.274       0.26   0.26    0    0    0    0
82.7	0.26	1.316       0.26   0.26    0    0    0    0
103.3	0.26	1.346       0.26   0.26    0    0    0    0
137.9	0.26	1.393       0.26   0.26    0    0    0    0
158.5	0.26	1.419       0.26   0.26    0    0    0    0
172.3	0.26	1.441       0.26   0.26    0    0    0    0
193.0	0.26	1.462       0.26   0.26    0    0    0    0
202.6	0.26	1.474       0.26   0.26    0    0    0    0
